,Equip Local,Equip Visitant,Resultat,Competició,Jornada,Data,Gols Local,Gols Visitant,Resultat per FCB
77,FC Barcelona,València,1-0,La Liga,Jornada 3,2012-09-02,1,0,Guanya
78,Getafe,FC Barcelona,1-4,La Liga,Jornada 4,2012-09-15,1,4,Guanya
79,FC Barcelona,SPM,3-2,Lliga de Campions,Fase de grups - G,2012-09-19,3,2,Guanya
80,FC Barcelona,Granada,2-0,La Liga,Jornada 5,2012-09-22,2,0,Guanya
81,Sevilla,FC Barcelona,2-3,La Liga,Jornada 6,2012-09-29,2,3,Guanya
82,Benfica,FC Barcelona,0-2,Lliga de Campions,Fase de grups - G,2012-10-02,0,2,Guanya
83,FC Barcelona,Reial Madrid,2-2,La Liga,Jornada 7,2012-10-07,2,2,Empata
84,Deportivo,FC Barcelona,4-5,La Liga,Jornada 8,2012-10-20,4,5,Guanya
85,FC Barcelona,Celtic,2-1,Lliga de Campions,Fase de grups - G,2012-10-23,2,1,Guanya
86,Rayo Vallecano,FC Barcelona,0-5,La Liga,Jornada 9,2012-10-27,0,5,Guanya
87,Alabès,FC Barcelona,0-3,Copa del Rei,4a ronda,2012-10-30,0,3,Guanya
88,FC Barcelona,Celta,3-1,La Liga,Jornada 10,2012-11-03,3,1,Guanya
89,Celtic,FC Barcelona,2-1,Lliga de Campions,Fase de grups - G,2012-11-07,2,1,Perd
90,Mallorca,FC Barcelona,2-4,La Liga,Jornada 11,2012-11-11,2,4,Guanya
91,FC Barcelona,Reial Saragossa,3-1,La Liga,Jornada 12,2012-11-17,3,1,Guanya
92,SPM,FC Barcelona,0-3,Lliga de Campions,Fase de grups - G,2012-11-20,0,3,Guanya
93,Llevant,FC Barcelona,0-4,La Liga,Jornada 13,2012-11-25,0,4,Guanya
94,FC Barcelona,Alabès,3-1,Copa del Rei,4a ronda,2012-11-28,3,1,Guanya
95,FC Barcelona,Ath. Club,5-1,La Liga,Jornada 14,2012-12-01,5,1,Guanya
96,FC Barcelona,Benfica,0-0,Lliga de Campions,Fase de grups - G,2012-12-05,0,0,Empata
97,Betis,FC Barcelona,1-2,La Liga,Jornada 15,2012-12-09,1,2,Guanya
98,Còrdova,FC Barcelona,0-2,Copa del Rei,Vuitens,2012-12-12,0,2,Guanya
99,FC Barcelona,At. Madrid,4-1,La Liga,Jornada 16,2012-12-16,4,1,Guanya
100,R. Valladolid,FC Barcelona,1-3,La Liga,Jornada 17,2012-12-22,1,3,Guanya
101,FC Barcelona,Espanyol,4-0,La Liga,Jornada 18,2013-01-06,4,0,Guanya
102,FC Barcelona,Còrdova,5-0,Copa del Rei,Vuitens,2013-01-10,5,0,Guanya
103,Màlaga,FC Barcelona,1-3,La Liga,Jornada 19,2013-01-13,1,3,Guanya
104,FC Barcelona,Màlaga,2-2,Copa del Rei,Quarts,2013-01-16,2,2,Empata
105,R. Societat,FC Barcelona,3-2,La Liga,Jornada 20,2013-01-19,3,2,Perd
106,Màlaga,FC Barcelona,2-4,Copa del Rei,Quarts,2013-01-24,2,4,Guanya
107,FC Barcelona,Osasuna,5-1,La Liga,Jornada 21,2013-01-27,5,1,Guanya
108,Reial Madrid,FC Barcelona,1-1,Copa del Rei,Semifinal,2013-01-30,1,1,Empata
109,València,FC Barcelona,1-1,La Liga,Jornada 22,2013-02-03,1,1,Empata
110,FC Barcelona,Getafe,6-1,La Liga,Jornada 23,2013-02-10,6,1,Guanya
111,Granada,FC Barcelona,1-2,La Liga,Jornada 24,2013-02-16,1,2,Guanya
112,AC Milan,FC Barcelona,2-0,Lliga de Campions,Vuitens,2013-02-20,2,0,Perd
113,FC Barcelona,Sevilla,2-1,La Liga,Jornada 25,2013-02-23,2,1,Guanya
